feature,importance
Exterior2nd_BrkFace,1.5211496585408511e-05
BsmtFinType2_ALQ,1.5046715921971477e-05
SaleType_ConLD,1.4388420874452868e-05
GarageCond_Gd,1.4258784224050427e-05
RoofStyle_Gambrel,1.2612166066749238e-05
PoolQC_None,1.2513792663547105e-05
PoolQC_Gd,1.2322980389230786e-05
Condition1_RRAe,1.2211977372689226e-05
GarageCond_Po,1.0870810835786245e-05
Neighborhood_Blmngtn,1.0558596026401263e-05
GarageQual_Gd,1.04673806227231e-05
BsmtExposure_None,1.014217639963613e-05
GarageQual_Po,9.711088759429405e-06
GarageType_2Types,9.232847026097664e-06
BsmtFinType2_GLQ,8.566551059866384e-06
HouseStyle_2.5Fin,8.269878558630873e-06
Condition2_Feedr,8.132486618598011e-06
Exterior2nd_AsphShn,7.977263130259897e-06
RoofMatl_Metal,7.317081302154304e-06
FireplaceQu_Fa,7.011769015294219e-06
Condition1_PosA,6.171811181376539e-06
Condition1_RRNn,4.198228152463672e-06
Foundation_Wood,4.027271245134093e-06
SaleType_ConLI,3.7785398052326166e-06
Foundation_Stone,3.7487019995818248e-06
HouseStyle_SFoyer,3.642265102277179e-06
Neighborhood_BrDale,3.5287616026084236e-06
LotShape_IR3,2.7472809892841278e-06
PoolArea,2.365744587245802e-06
RoofMatl_WdShake,2.07726947893686e-06
Condition1_RRNe,1.9013995068344234e-06
Fence_MnWw,1.664814705256147e-06
Heating_Wall,1.5918093463190923e-06
HouseStyle_2.5Unf,1.3076018676127865e-06
Exterior2nd_CBlock,1.1840676227846436e-06
RoofMatl_WdShngl,1.0294159653563957e-06
PoolQC_Fa,1.0035948986128988e-06
Exterior2nd_Other,1.0012443142626269e-06
ExterCond_Po,9.113755234245419e-07
ExterCond_Ex,7.78612108797563e-07
Exterior2nd_ImStucc,5.379694182468475e-07
LotConfig_FR3,4.731870679733872e-07
SaleType_Con,3.9212763657392264e-07
RoofStyle_Mansard,2.0458273540729605e-07
MiscFeature_Othr,2.0393033505017987e-07
Electrical_FuseP,1.9342590846924226e-07
GarageCond_Ex,1.7230138223596028e-07
Utilities_NoSeWa,1.0673288279250106e-07
RoofMatl_Membran,9.94793331800753e-08
HeatingQC_Po,9.923469395122139e-08
GarageQual_Ex,9.565474111207901e-08
Exterior1st_CBlock,8.114237028963318e-08
SaleCondition_AdjLand,7.986837194129746e-08
Utilities_AllPub,7.909720406564833e-08
Condition2_RRAn,7.518345755987321e-08
SaleType_CWD,4.722203052625199e-08
SaleType_Oth,1.2518063984416975e-08
SaleType_ConLw,1.0314521101481943e-08
Neighborhood_Blueste,2.976872059388874e-10
Exterior1st_ImStucc,1.5792393649113532e-10
RoofMatl_Roll,0.0
Exterior1st_Stone,0.0
Exterior1st_AsphShn,0.0
RoofStyle_Shed,0.0
Condition2_Artery,0.0
Heating_Floor,0.0
Condition2_PosN,0.0
Condition2_RRAe,0.0
Functional_Sev,0.0
Condition2_RRNn,0.0
MiscFeature_Gar2,0.0
YearBuilt_Bin,0.0
